Lead_ID,Inquiry_Date,City,Project_Type,Lead_Source,Budget_INR_K,Funnel_Stage,Stage_Order,Converted,Loss_Reason,Days_In_Funnel
LD-0001,2023-01-08,Mumbai,Living Room Set,Google Ads,178.0,Site Visit Done,2,0,Site visit done but ghosted,8
LD-0002,2023-01-17,Mumbai,Living Room Set,Instagram,270.0,Inquiry Only,1,0,Went with local carpenter,2
LD-0003,2023-01-25,Delhi,Children's Room,Instagram,143.0,Inquiry Only,1,0,No response after inquiry,3
LD-0004,2023-01-03,Ahmedabad,Bedroom System,Referral,181.0,Closed Won,5,1,,32
LD-0005,2023-01-18,Ahmedabad,Bedroom System,Google Ads,167.0,Inquiry Only,1,0,No response after inquiry,5
LD-0006,2023-01-25,Mumbai,Home Office,Referral,115.0,Closed Won,5,1,,38
LD-0007,2023-01-22,Mumbai,Bedroom System,Housing.com,163.0,Inquiry Only,1,0,Could not schedule,5
LD-0008,2023-01-15,Bengaluru,Living Room Set,Google Ads,226.0,Inquiry Only,1,0,Location too far,3
LD-0009,2023-01-02,Hyderabad,Living Room Set,Housing.com,311.0,Inquiry Only,1,0,Could not schedule,2
LD-0010,2023-01-07,Bengaluru,Kitchen Storage,Housing.com,179.0,Inquiry Only,1,0,Went with local carpenter,2
LD-0011,2023-01-09,Delhi,Home Office,Referral,170.0,Negotiation,4,0,Competitor won on delivery time,28
LD-0012,2023-01-05,Hyderabad,Children's Room,Instagram,126.0,Inquiry Only,1,0,Went with local carpenter,5
LD-0013,2023-01-17,Delhi,Wardrobe Unit,Referral,128.0,Site Visit Done,2,0,Site visit done but ghosted,9
LD-0014,2023-01-11,Hyderabad,Kitchen Storage,Housing.com,113.0,Inquiry Only,1,0,Went with local carpenter,1
LD-0015,2023-01-17,Chennai,Living Room Set,Word of Mouth,302.0,Quote Sent,3,0,Quote rejected outright,9
LD-0016,2023-01-30,Mumbai,Wardrobe Unit,Instagram,170.0,Negotiation,4,0,Project postponed indefinitely,19
LD-0017,2023-01-03,Chennai,Children's Room,Referral,136.0,Inquiry Only,1,0,Location too far,2
LD-0018,2023-01-17,Chennai,Living Room Set,Google Ads,324.0,Quote Sent,3,0,Quote rejected outright,18
LD-0019,2023-01-15,Ahmedabad,Home Office,Instagram,188.0,Inquiry Only,1,0,Location too far,2
LD-0020,2023-01-19,Mumbai,Home Office,Referral,106.0,Negotiation,4,0,Project postponed indefinitely,14
LD-0021,2023-01-18,Delhi,Bedroom System,Instagram,141.0,Inquiry Only,1,0,Went with local carpenter,2
LD-0022,2023-01-04,Hyderabad,Living Room Set,Walk-in Showroom,282.0,Quote Sent,3,0,Price too high,17
LD-0023,2023-01-24,Pune,Living Room Set,Google Ads,218.0,Inquiry Only,1,0,Location too far,2
LD-0024,2023-01-09,Bengaluru,Bedroom System,Referral,194.0,Inquiry Only,1,0,Could not schedule,4
LD-0025,2023-01-21,Hyderabad,Living Room Set,Walk-in Showroom,350.0,Inquiry Only,1,0,Could not schedule,2
LD-0026,2023-01-13,Bengaluru,Living Room Set,Referral,330.0,Negotiation,4,0,Client relocated,21
LD-0027,2023-01-18,Ahmedabad,Wardrobe Unit,Instagram,189.0,Inquiry Only,1,0,Location too far,3
LD-0028,2023-01-02,Mumbai,Kitchen Storage,Referral,190.0,Negotiation,4,0,Competitor won on delivery time,13
LD-0029,2023-01-20,Mumbai,Living Room Set,Word of Mouth,164.0,Inquiry Only,1,0,Went with local carpenter,1
LD-0030,2023-01-02,Bengaluru,Home Office,Word of Mouth,154.0,Negotiation,4,0,Competitor won on delivery time,22
LD-0031,2023-01-10,Delhi,Home Office,Referral,135.0,Inquiry Only,1,0,Could not schedule,1
LD-0032,2023-01-03,Ahmedabad,Wardrobe Unit,Instagram,171.0,Inquiry Only,1,0,Location too far,3
LD-0033,2023-01-06,Chennai,Bedroom System,Housing.com,190.0,Inquiry Only,1,0,No response after inquiry,5
LD-0034,2023-01-22,Hyderabad,Home Office,Word of Mouth,178.0,Quote Sent,3,0,Quote rejected outright,11
LD-0035,2023-01-09,Mumbai,Home Office,Referral,114.0,Quote Sent,3,0,Budget cut after quote,15
LD-0036,2023-01-03,Chennai,Kitchen Storage,Instagram,176.0,Inquiry Only,1,0,Could not schedule,1
LD-0037,2023-01-06,Mumbai,Wardrobe Unit,Instagram,201.0,Inquiry Only,1,0,Went with local carpenter,5
LD-0038,2023-01-29,Mumbai,Children's Room,Referral,83.0,Quote Sent,3,0,Switched to flat-pack alternative,9
LD-0039,2023-01-28,Delhi,Children's Room,Referral,74.0,Quote Sent,3,0,Budget cut after quote,15
LD-0040,2023-01-05,Delhi,Home Office,Housing.com,191.0,Quote Sent,3,0,Quote rejected outright,13
LD-0041,2023-03-01,Pune,Bedroom System,Referral,186.0,Site Visit Done,2,0,Scope too large,6
LD-0042,2023-02-01,Pune,Bedroom System,Referral,257.0,Site Visit Done,2,0,Competitor visited first,6
LD-0043,2023-01-31,Hyderabad,Living Room Set,Instagram,282.0,Negotiation,4,0,Project postponed indefinitely,28
LD-0044,2023-01-31,Ahmedabad,Home Office,Instagram,94.0,Inquiry Only,1,0,Location too far,5
LD-0045,2023-02-13,Delhi,Living Room Set,Word of Mouth,219.0,Inquiry Only,1,0,Went with local carpenter,5
LD-0046,2023-02-06,Mumbai,Children's Room,Word of Mouth,93.0,Quote Sent,3,0,Quote rejected outright,12
LD-0047,2023-02-19,Chennai,Children's Room,Instagram,98.0,Inquiry Only,1,0,No response after inquiry,5
LD-0048,2023-02-09,Delhi,Bedroom System,Instagram,209.0,Site Visit Done,2,0,Competitor visited first,9
LD-0049,2023-02-12,Mumbai,Home Office,Walk-in Showroom,146.0,Closed Won,5,1,,38
LD-0050,2023-02-16,Bengaluru,Home Office,Instagram,137.0,Inquiry Only,1,0,Location too far,1
LD-0051,2023-02-02,Pune,Home Office,Referral,178.0,Inquiry Only,1,0,No response after inquiry,2
LD-0052,2023-02-15,Mumbai,Living Room Set,Walk-in Showroom,272.0,Quote Sent,3,0,Quote rejected outright,18
LD-0053,2023-02-20,Bengaluru,Living Room Set,Google Ads,288.0,Inquiry Only,1,0,Could not schedule,4
LD-0054,2023-02-14,Hyderabad,Home Office,Referral,86.0,Site Visit Done,2,0,Competitor visited first,5
LD-0055,2023-02-19,Pune,Wardrobe Unit,Walk-in Showroom,138.0,Quote Sent,3,0,Switched to flat-pack alternative,15
LD-0056,2023-02-14,Mumbai,Children's Room,Instagram,93.0,Site Visit Done,2,0,Competitor visited first,9
LD-0057,2023-02-07,Bengaluru,Kitchen Storage,Referral,133.0,Closed Won,5,1,,40
LD-0058,2023-02-10,Mumbai,Bedroom System,Referral,207.0,Negotiation,4,0,Negotiation failed on price,24
LD-0059,2023-02-12,Chennai,Bedroom System,Instagram,257.0,Inquiry Only,1,0,Went with local carpenter,5
LD-0060,2023-02-07,Bengaluru,Home Office,Walk-in Showroom,139.0,Closed Won,5,1,,43
LD-0061,2023-02-04,Mumbai,Bedroom System,Instagram,277.0,Inquiry Only,1,0,Went with local carpenter,5
LD-0062,2023-02-04,Mumbai,Home Office,Google Ads,184.0,Closed Won,5,1,,28
LD-0063,2023-02-26,Delhi,Kitchen Storage,Walk-in Showroom,151.0,Inquiry Only,1,0,Went with local carpenter,1
LD-0064,2023-02-07,Mumbai,Wardrobe Unit,Walk-in Showroom,188.0,Inquiry Only,1,0,Could not schedule,1
LD-0065,2023-02-04,Mumbai,Living Room Set,Word of Mouth,198.0,Quote Sent,3,0,Switched to flat-pack alternative,18
LD-0066,2023-02-23,Delhi,Home Office,Referral,166.0,Inquiry Only,1,0,Location too far,3
LD-0067,2023-02-21,Mumbai,Bedroom System,Referral,265.0,Site Visit Done,2,0,Scope too large,4
LD-0068,2023-02-22,Hyderabad,Living Room Set,Google Ads,304.0,Inquiry Only,1,0,Could not schedule,5
LD-0069,2023-02-11,Delhi,Bedroom System,Walk-in Showroom,131.0,Closed Won,5,1,,31
LD-0070,2023-02-22,Pune,Kitchen Storage,Word of Mouth,118.0,Quote Sent,3,0,Switched to flat-pack alternative,14
LD-0071,2023-02-27,Pune,Living Room Set,Instagram,199.0,Inquiry Only,1,0,No response after inquiry,4
LD-0072,2023-02-12,Bengaluru,Home Office,Referral,120.0,Closed Won,5,1,,26
LD-0073,2023-02-08,Chennai,Kitchen Storage,Instagram,167.0,Inquiry Only,1,0,Location too far,1
LD-0074,2023-02-07,Delhi,Home Office,Referral,163.0,Quote Sent,3,0,Price too high,11
LD-0075,2023-02-18,Pune,Bedroom System,Referral,179.0,Quote Sent,3,0,Budget cut after quote,12
LD-0076,2023-02-03,Delhi,Living Room Set,Walk-in Showroom,294.0,Quote Sent,3,0,Quote rejected outright,10
LD-0077,2023-02-24,Bengaluru,Kitchen Storage,Referral,163.0,Closed Won,5,1,,23
LD-0078,2023-02-01,Pune,Living Room Set,Instagram,345.0,Inquiry Only,1,0,Location too far,4
LD-0079,2023-02-15,Mumbai,Bedroom System,Referral,190.0,Quote Sent,3,0,Switched to flat-pack alternative,8
LD-0080,2023-02-20,Delhi,Living Room Set,Housing.com,287.0,Site Visit Done,2,0,Not ready to proceed,4
LD-0081,2023-02-19,Mumbai,Kitchen Storage,Word of Mouth,172.0,Site Visit Done,2,0,Competitor visited first,7
LD-0082,2023-03-15,Delhi,Home Office,Housing.com,117.0,Inquiry Only,1,0,Could not schedule,2
LD-0083,2023-03-09,Delhi,Living Room Set,Google Ads,185.0,Quote Sent,3,0,Switched to flat-pack alternative,11
LD-0084,2023-03-29,Delhi,Bedroom System,Referral,193.0,Inquiry Only,1,0,No response after inquiry,5
LD-0085,2023-03-19,Chennai,Bedroom System,Google Ads,156.0,Closed Won,5,1,,43
LD-0086,2023-03-11,Pune,Home Office,Instagram,133.0,Inquiry Only,1,0,No response after inquiry,4
LD-0087,2023-03-04,Bengaluru,Bedroom System,Word of Mouth,216.0,Inquiry Only,1,0,No response after inquiry,5
LD-0088,2023-03-28,Mumbai,Wardrobe Unit,Referral,219.0,Quote Sent,3,0,Budget cut after quote,16
LD-0089,2023-03-22,Hyderabad,Bedroom System,Referral,191.0,Site Visit Done,2,0,Competitor visited first,9
LD-0090,2023-03-15,Ahmedabad,Bedroom System,Walk-in Showroom,173.0,Site Visit Done,2,0,Not ready to proceed,7
LD-0091,2023-03-28,Delhi,Children's Room,Google Ads,138.0,Closed Won,5,1,,42
LD-0092,2023-03-23,Bengaluru,Wardrobe Unit,Instagram,220.0,Inquiry Only,1,0,Could not schedule,2
LD-0093,2023-03-16,Pune,Bedroom System,Instagram,242.0,Quote Sent,3,0,Switched to flat-pack alternative,18
LD-0094,2023-03-27,Mumbai,Home Office,Instagram,109.0,Quote Sent,3,0,Price too high,10
LD-0095,2023-03-05,Chennai,Bedroom System,Word of Mouth,224.0,Site Visit Done,2,0,Not ready to proceed,8
LD-0096,2023-03-17,Delhi,Bedroom System,Walk-in Showroom,159.0,Quote Sent,3,0,Quote rejected outright,8
LD-0097,2023-03-31,Hyderabad,Bedroom System,Referral,246.0,Quote Sent,3,0,Switched to flat-pack alternative,9
LD-0098,2023-03-26,Bengaluru,Bedroom System,Instagram,207.0,Inquiry Only,1,0,No response after inquiry,2
LD-0099,2023-03-29,Delhi,Bedroom System,Word of Mouth,244.0,Quote Sent,3,0,Switched to flat-pack alternative,13
LD-0100,2023-03-06,Hyderabad,Home Office,Word of Mouth,139.0,Quote Sent,3,0,Price too high,14
LD-0101,2023-03-06,Chennai,Living Room Set,Referral,232.0,Negotiation,4,0,Project postponed indefinitely,24
LD-0102,2023-03-29,Hyderabad,Children's Room,Google Ads,118.0,Inquiry Only,1,0,Went with local carpenter,5
LD-0103,2023-03-31,Mumbai,Home Office,Referral,114.0,Quote Sent,3,0,Price too high,14
LD-0104,2023-03-12,Delhi,Living Room Set,Referral,309.0,Closed Won,5,1,,36
LD-0105,2023-03-21,Mumbai,Living Room Set,Google Ads,324.0,Inquiry Only,1,0,Location too far,4
LD-0106,2023-03-10,Mumbai,Bedroom System,Housing.com,194.0,Inquiry Only,1,0,Went with local carpenter,3
LD-0107,2023-03-13,Mumbai,Bedroom System,Google Ads,278.0,Site Visit Done,2,0,Not ready to proceed,7
LD-0108,2023-03-17,Mumbai,Bedroom System,Housing.com,137.0,Inquiry Only,1,0,No response after inquiry,5
LD-0109,2023-03-28,Pune,Living Room Set,Referral,282.0,Quote Sent,3,0,Price too high,16
LD-0110,2023-03-26,Hyderabad,Children's Room,Walk-in Showroom,142.0,Quote Sent,3,0,Budget cut after quote,17
LD-0111,2023-03-06,Hyderabad,Home Office,Walk-in Showroom,155.0,Inquiry Only,1,0,Could not schedule,3
LD-0112,2023-03-06,Mumbai,Bedroom System,Walk-in Showroom,134.0,Closed Won,5,1,,35
LD-0113,2023-03-10,Delhi,Home Office,Housing.com,180.0,Site Visit Done,2,0,Competitor visited first,10
LD-0114,2023-03-16,Chennai,Kitchen Storage,Referral,216.0,Site Visit Done,2,0,Competitor visited first,10
LD-0115,2023-03-02,Delhi,Kitchen Storage,Walk-in Showroom,132.0,Quote Sent,3,0,Budget cut after quote,16
LD-0116,2023-03-23,Pune,Bedroom System,Instagram,157.0,Site Visit Done,2,0,Not ready to proceed,8
LD-0117,2023-03-31,Mumbai,Kitchen Storage,Referral,184.0,Closed Won,5,1,,33
LD-0118,2023-03-14,Delhi,Home Office,Referral,134.0,Site Visit Done,2,0,Competitor visited first,8
LD-0119,2023-03-05,Mumbai,Bedroom System,Walk-in Showroom,253.0,Site Visit Done,2,0,Not ready to proceed,4
LD-0120,2023-03-09,Mumbai,Bedroom System,Google Ads,257.0,Site Visit Done,2,0,Not ready to proceed,4
LD-0121,2023-03-29,Mumbai,Living Room Set,Instagram,315.0,Quote Sent,3,0,Price too high,7
LD-0122,2023-03-20,Delhi,Living Room Set,Walk-in Showroom,191.0,Inquiry Only,1,0,Location too far,5
LD-0123,2023-03-06,Hyderabad,Bedroom System,Referral,246.0,Quote Sent,3,0,Quote rejected outright,15
LD-0124,2023-04-01,Mumbai,Home Office,Referral,96.0,Site Visit Done,2,0,Not ready to proceed,4
LD-0125,2023-04-17,Mumbai,Kitchen Storage,Referral,114.0,Closed Won,5,1,,32
LD-0126,2023-04-26,Chennai,Living Room Set,Instagram,332.0,Inquiry Only,1,0,No response after inquiry,4
LD-0127,2023-04-28,Mumbai,Wardrobe Unit,Google Ads,150.0,Inquiry Only,1,0,Went with local carpenter,4
LD-0128,2023-04-03,Mumbai,Home Office,Referral,95.0,Quote Sent,3,0,Switched to flat-pack alternative,16
LD-0129,2023-04-04,Bengaluru,Home Office,Google Ads,175.0,Site Visit Done,2,0,Scope too large,7
LD-0130,2023-04-15,Delhi,Bedroom System,Instagram,184.0,Inquiry Only,1,0,No response after inquiry,4
LD-0131,2023-04-22,Delhi,Wardrobe Unit,Instagram,228.0,Site Visit Done,2,0,Site visit done but ghosted,7
LD-0132,2023-04-18,Pune,Kitchen Storage,Referral,107.0,Inquiry Only,1,0,No response after inquiry,1
LD-0133,2023-04-14,Chennai,Children's Room,Instagram,148.0,Inquiry Only,1,0,No response after inquiry,5
LD-0134,2023-04-05,Mumbai,Home Office,Instagram,159.0,Quote Sent,3,0,Budget cut after quote,8
LD-0135,2023-04-28,Bengaluru,Kitchen Storage,Walk-in Showroom,167.0,Quote Sent,3,0,Price too high,16
LD-0136,2023-04-06,Hyderabad,Living Room Set,Word of Mouth,205.0,Inquiry Only,1,0,No response after inquiry,3
LD-0137,2023-04-13,Hyderabad,Home Office,Referral,88.0,Inquiry Only,1,0,Could not schedule,1
LD-0138,2023-04-11,Mumbai,Bedroom System,Walk-in Showroom,145.0,Quote Sent,3,0,Price too high,7
LD-0139,2023-04-03,Hyderabad,Living Room Set,Referral,204.0,Closed Won,5,1,,42
LD-0140,2023-04-22,Delhi,Living Room Set,Instagram,286.0,Inquiry Only,1,0,No response after inquiry,1
LD-0141,2023-04-07,Ahmedabad,Living Room Set,Referral,210.0,Closed Won,5,1,,18
LD-0142,2023-04-18,Bengaluru,Living Room Set,Instagram,291.0,Inquiry Only,1,0,No response after inquiry,1
LD-0143,2023-04-15,Pune,Bedroom System,Instagram,267.0,Inquiry Only,1,0,Went with local carpenter,5
LD-0144,2023-04-13,Pune,Bedroom System,Instagram,123.0,Site Visit Done,2,0,Competitor visited first,10
LD-0145,2023-04-04,Delhi,Bedroom System,Google Ads,159.0,Inquiry Only,1,0,Could not schedule,4
LD-0146,2023-04-25,Pune,Living Room Set,Housing.com,184.0,Inquiry Only,1,0,Could not schedule,5
LD-0147,2023-04-24,Chennai,Bedroom System,Instagram,273.0,Inquiry Only,1,0,Location too far,2
LD-0148,2023-04-05,Delhi,Living Room Set,Referral,302.0,Quote Sent,3,0,Switched to flat-pack alternative,14
LD-0149,2023-04-30,Hyderabad,Bedroom System,Walk-in Showroom,261.0,Site Visit Done,2,0,Not ready to proceed,10
LD-0150,2023-04-16,Delhi,Bedroom System,Word of Mouth,191.0,Closed Won,5,1,,27
LD-0151,2023-04-10,Mumbai,Bedroom System,Instagram,132.0,Inquiry Only,1,0,Could not schedule,5
LD-0152,2023-04-26,Delhi,Home Office,Google Ads,169.0,Site Visit Done,2,0,Scope too large,6
LD-0153,2023-04-15,Bengaluru,Wardrobe Unit,Google Ads,106.0,Inquiry Only,1,0,No response after inquiry,1
LD-0154,2023-04-15,Mumbai,Living Room Set,Instagram,348.0,Inquiry Only,1,0,Location too far,3
LD-0155,2023-04-11,Delhi,Bedroom System,Instagram,229.0,Site Visit Done,2,0,Not ready to proceed,4
LD-0156,2023-04-09,Bengaluru,Bedroom System,Instagram,236.0,Inquiry Only,1,0,Location too far,3
LD-0157,2023-04-10,Pune,Children's Room,Referral,157.0,Inquiry Only,1,0,Went with local carpenter,2
LD-0158,2023-04-13,Chennai,Bedroom System,Google Ads,223.0,Quote Sent,3,0,Price too high,17
LD-0159,2023-04-10,Bengaluru,Living Room Set,Google Ads,186.0,Site Visit Done,2,0,Competitor visited first,5
LD-0160,2023-04-28,Mumbai,Living Room Set,Referral,308.0,Quote Sent,3,0,Price too high,17
LD-0161,2023-04-13,Hyderabad,Living Room Set,Instagram,181.0,Site Visit Done,2,0,Scope too large,9
LD-0162,2023-04-08,Delhi,Home Office,Instagram,196.0,Inquiry Only,1,0,Went with local carpenter,2
LD-0163,2023-04-16,Delhi,Kitchen Storage,Google Ads,208.0,Site Visit Done,2,0,Competitor visited first,7
LD-0164,2023-04-14,Hyderabad,Home Office,Walk-in Showroom,196.0,Inquiry Only,1,0,Location too far,3
LD-0165,2023-04-30,Bengaluru,Bedroom System,Referral,136.0,Inquiry Only,1,0,Could not schedule,3
LD-0166,2023-04-17,Mumbai,Bedroom System,Referral,144.0,Site Visit Done,2,0,Scope too large,10
LD-0167,2023-05-02,Delhi,Living Room Set,Instagram,229.0,Closed Won,5,1,,28
LD-0168,2023-05-26,Hyderabad,Home Office,Word of Mouth,98.0,Site Visit Done,2,0,Competitor visited first,9
LD-0169,2023-05-20,Hyderabad,Bedroom System,Housing.com,121.0,Quote Sent,3,0,Switched to flat-pack alternative,8
LD-0170,2023-05-08,Delhi,Living Room Set,Walk-in Showroom,234.0,Inquiry Only,1,0,Went with local carpenter,1
LD-0171,2023-05-01,Chennai,Home Office,Referral,156.0,Closed Won,5,1,,29
LD-0172,2023-05-03,Delhi,Home Office,Referral,143.0,Site Visit Done,2,0,Site visit done but ghosted,7
LD-0173,2023-05-12,Mumbai,Bedroom System,Housing.com,161.0,Site Visit Done,2,0,Not ready to proceed,5
LD-0174,2023-05-24,Pune,Kitchen Storage,Walk-in Showroom,191.0,Closed Won,5,1,,44
LD-0175,2023-05-21,Bengaluru,Home Office,Walk-in Showroom,102.0,Quote Sent,3,0,Price too high,11
LD-0176,2023-05-11,Hyderabad,Children's Room,Referral,154.0,Site Visit Done,2,0,Competitor visited first,6
LD-0177,2023-05-28,Pune,Bedroom System,Referral,245.0,Inquiry Only,1,0,No response after inquiry,3
LD-0178,2023-05-24,Delhi,Children's Room,Referral,110.0,Inquiry Only,1,0,No response after inquiry,2
LD-0179,2023-05-17,Bengaluru,Children's Room,Instagram,94.0,Quote Sent,3,0,Quote rejected outright,15
LD-0180,2023-05-10,Mumbai,Bedroom System,Referral,169.0,Quote Sent,3,0,Budget cut after quote,14
LD-0181,2023-05-14,Chennai,Bedroom System,Referral,164.0,Inquiry Only,1,0,Could not schedule,1
